ReadID	Length
m84085_250303_235918_s4/261296574/ccs	15071
m84085_250303_235918_s4/236263151/ccs	11242
m84085_250303_235918_s4/243209063/ccs	9775
m84085_250303_235918_s4/245042796/ccs	5679
m84085_250303_235918_s4/265424558/ccs	7945
m84085_250303_235918_s4/263460072/ccs	13837
m84085_250303_235918_s4/219944384/ccs	9374
m84085_250303_235918_s4/210308520/ccs	12322
m84085_250303_235918_s4/227479489/ccs	13751
m84085_250303_235918_s4/210835330/ccs	10033
m84085_250303_235918_s4/255529065/ccs	14081
m84085_250303_235918_s4/249040138/ccs	9353
m84085_250303_235918_s4/232001734/ccs	19308
m84085_250303_235918_s4/237638205/ccs	18718
m84085_250303_235918_s4/262016058/ccs	10843
m84085_250303_235918_s4/254349807/ccs	13697
m84085_250303_235918_s4/221516936/ccs	3772
m84085_250303_235918_s4/231149624/ccs	12285
m84085_250303_235918_s4/216077150/ccs	5336
m84085_250303_235918_s4/212341710/ccs	3025
m84085_250303_235918_s4/239407336/ccs	14705
m84085_250303_235918_s4/253234431/ccs	8951
m84085_250303_235918_s4/241636705/ccs	11148
m84085_250303_235918_s4/239933267/ccs	13910
m84085_250303_235918_s4/220138870/ccs	14010
m84085_250303_235918_s4/240389858/ccs	9784
m84085_250303_235918_s4/226759475/ccs	16180
m84085_250303_235918_s4/260772607/ccs	7438
m84085_250303_235918_s4/236064141/ccs	5022
m84085_250303_235918_s4/238227915/ccs	6062
m84085_250303_235918_s4/218502497/ccs	3158
m84085_250303_235918_s4/266867679/ccs	8853
m84085_250303_235918_s4/237637954/ccs	9696
m84085_250303_235918_s4/247010397/ccs	4578
m84085_250303_235918_s4/218107117/ccs	4672
m84085_250303_235918_s4/263656751/ccs	13639
m84085_250303_235918_s4/241766074/ccs	18434
m84085_250303_235918_s4/245896809/ccs	14042
m84085_250303_235918_s4/265229450/ccs	9912
m84085_250303_235918_s4/262934897/ccs	5841
m84085_250303_235918_s4/231084380/ccs	5535
m84085_250303_235918_s4/228528215/ccs	10412
m84085_250303_235918_s4/259526942/ccs	14937
m84085_250303_235918_s4/218960136/ccs	5059
m84085_250303_235918_s4/231871028/ccs	6423
m84085_250303_235918_s4/244126281/ccs	4707
m84085_250303_235918_s4/240193762/ccs	5994
m84085_250303_235918_s4/259067575/ccs	5875
m84085_250303_235918_s4/210572054/ccs	3947
m84085_250303_235918_s4/248844625/ccs	4582
m84085_250303_235918_s4/247271319/ccs	3301
m84085_250303_235918_s4/246093373/ccs	9154
m84085_250303_235918_s4/248321514/ccs	16201
m84085_250303_235918_s4/250285651/ccs	12294
m84085_250303_235918_s4/260380006/ccs	12295
m84085_250303_235918_s4/251532263/ccs	4048
m84085_250303_235918_s4/238292625/ccs	7175
m84085_250303_235918_s4/209917785/ccs	4766
m84085_250303_235918_s4/242814041/ccs	14151
m84085_250303_235918_s4/218631388/ccs	8143
m84085_250303_235918_s4/237243658/ccs	9564
m84085_250303_235918_s4/263329201/ccs	4521
m84085_250303_235918_s4/267063198/ccs	19905
m84085_250303_235918_s4/265621209/ccs	10853
m84085_250303_235918_s4/216995430/ccs	4179
m84085_250303_235918_s4/261690420/ccs	6941
m84085_250303_235918_s4/238753333/ccs	16622
m84085_250303_235918_s4/259264069/ccs	11753
m84085_250303_235918_s4/223154356/ccs	13077
m84085_250303_235918_s4/258149433/ccs	7344
m84085_250303_235918_s4/235933906/ccs	12014
m84085_250303_235918_s4/230495281/ccs	12765
m84085_250303_235918_s4/246158285/ccs	8226
m84085_250303_235918_s4/229185260/ccs	6106
m84085_250303_235918_s4/252581111/ccs	10912
m84085_250303_235918_s4/231872044/ccs	5611
m84085_250303_235918_s4/237505865/ccs	6780
m84085_250303_235918_s4/220599073/ccs	10074
m84085_250303_235918_s4/240981671/ccs	12703
m84085_250303_235918_s4/218502164/ccs	12967
m84085_250303_235918_s4/236719686/ccs	4116
m84085_250303_235918_s4/226627994/ccs	17428
m84085_250303_235918_s4/263264000/ccs	5587
m84085_250303_235918_s4/210179589/ccs	9501
m84085_250303_235918_s4/236129591/ccs	9968
m84085_250303_235918_s4/255923667/ccs	15032
m84085_250303_235918_s4/267523865/ccs	20326
m84085_250303_235918_s4/265622158/ccs	7986
m84085_250303_235918_s4/229118353/ccs	11790
m84085_250303_235918_s4/263066455/ccs	6003
m84085_250303_235918_s4/242749681/ccs	7001
m84085_250303_235918_s4/219353870/ccs	19520
m84085_250303_235918_s4/211684997/ccs	17674
m84085_250303_235918_s4/243273588/ccs	8238
m84085_250303_235918_s4/244125132/ccs	7113
m84085_250303_235918_s4/247533286/ccs	7031
m84085_250303_235918_s4/244978266/ccs	9839
m84085_250303_235918_s4/218830625/ccs	10142
m84085_250303_235918_s4/230363314/ccs	7060
m84085_250303_235918_s4/267324592/ccs	18171
m84085_250303_235918_s4/212407522/ccs	8957
m84085_250303_235918_s4/259788380/ccs	8931
m84085_250303_235918_s4/222891159/ccs	10990
m84085_250303_235918_s4/226628613/ccs	11629
m84085_250303_235918_s4/227545128/ccs	5843
m84085_250303_235918_s4/233248103/ccs	5937
m84085_250303_235918_s4/210440688/ccs	4033
m84085_250303_235918_s4/226299382/ccs	4077
m84085_250303_235918_s4/259462966/ccs	5052
m84085_250303_235918_s4/254087077/ccs	10443
m84085_250303_235918_s4/265818329/ccs	8958
m84085_250303_235918_s4/232198962/ccs	6361
m84085_250303_235918_s4/219091002/ccs	4138
m84085_250303_235918_s4/232394120/ccs	2972
m84085_250303_235918_s4/231544334/ccs	11749
